127.0.0.1 - - [06/Jun/2023:12:10:40 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:15 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:15 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:15 +0530] "GET /DataSharing/images/owner.jpg HTTP/1.1" 200 43483
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/Upload.jsp HTTP/1.1" 200 33783
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/css/upload.css HTTP/1.1" 200 2123
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:42:43 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "POST /DataSharing/upload HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "GET /DataSharing/Upload.jsp?uploaded HTTP/1.1" 200 33854
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
